avatar_id,default_voice,is_public,normal_preview,pose_name,status
Anthony_White_Suit_public,6f94c8b2a6784a1d92ffbe0339138f31,True,https://files2.heygen.ai/avatar/v3/428c336f47ad479f986514fe6436bfd4_55330/preview_target.webp,Anthony in White Suit,ACTIVE
Anthony_Chair_Sitting_public,6f94c8b2a6784a1d92ffbe0339138f31,True,https://files2.heygen.ai/avatar/v3/3dc3449bfaaf4109adb8ea3eaad06053_55320/preview_target.webp,Anthony Chair Sitting,ACTIVE
Alessandra_Grey_Sweater_public,0d3f35185d7c4360b9f03312e0264d59,True,https://files2.heygen.ai/avatar/v3/dce2de72df964375a25af29e461fb734_55310/preview_talk_1.webp,Alessandra in Grey Sweater,ACTIVE
Alessandra_Black_Suit_public,0d3f35185d7c4360b9f03312e0264d59,True,https://files2.heygen.ai/avatar/v3/ef3893cf0bf84411851d1f360a36462e_55310/preview_target.webp,Alessandra in Black Suit,ACTIVE
Alessandra_Chair_Sitting_public,0d3f35185d7c4360b9f03312e0264d59,True,https://files2.heygen.ai/avatar/v3/89e07b826f1c4cb1a5549201cdd8f4d6_55300/preview_target.webp,Alessandra Chair Sitting,ACTIVE
Anastasia_Black_Suit_public,576ee47831a4479cb4c5a25065214905,True,https://files2.heygen.ai/avatar/v3/c0fb0437a2b64fc991e68923af50e172_55290/preview_talk_1.webp,Anastasia in Black Suit,ACTIVE
Anastasia_Grey_Shirt_public,576ee47831a4479cb4c5a25065214905,True,https://files2.heygen.ai/avatar/v3/9849a1cbe96f46b0a3bb5be895237124_55290/preview_target.webp,Anastasia in Grey Shirt,ACTIVE
Anastasia_Chair_Sitting_public,576ee47831a4479cb4c5a25065214905,True,https://files2.heygen.ai/avatar/v3/d3370d0f86784bde8e2144d16d573dcc_55280/preview_target.webp,Anastasia Chair Sitting,ACTIVE
Amina_Black_Suit_public,47211675cf674b82aa4fdbe6a785c9b3,True,https://files2.heygen.ai/avatar/v3/d457fb0050a046a683058666fa3b2252_55270/preview_talk_1.webp,Amina in Black Suit,ACTIVE
Amina_Blue_Suit_public,47211675cf674b82aa4fdbe6a785c9b3,True,https://files2.heygen.ai/avatar/v3/04fe00b09f6248b9808812a2d1cba23a_55270/preview_target.webp,Amina in Blue Suit,ACTIVE
Amina_Chair_Sitting_public,47211675cf674b82aa4fdbe6a785c9b3,True,https://files2.heygen.ai/avatar/v3/59cde571f56d4952bac9564da7d3ccc3_55260/preview_target.webp,Amina Chair Sitting,ACTIVE
Santa_Fireplace_Front_public,83f8d11946b24588857a491e1841c667,True,https://files2.heygen.ai/avatar/v3/3b4e464bf15f4194b082be0e631354c6_46860/preview_target.webp,Santa Fireplace Front,ACTIVE
Ann_Doctor_Standing2_public,6eafa43fdc16437b8f5abe512cc2b3cf,True,https://files2.heygen.ai/avatar/v3/699a4c2995914d39b2cb311a930d7720_45570/preview_talk_3.webp,Ann Doctor Standing,ACTIVE
Ann_Doctor_Sitting_public,6eafa43fdc16437b8f5abe512cc2b3cf,True,https://files2.heygen.ai/avatar/v3/26de369b2d4443e586dedf27af1e0c1d_45570/preview_talk_1.webp,Ann Doctor Sitting,ACTIVE
Ann_Therapist_public,6eafa43fdc16437b8f5abe512cc2b3cf,True,https://files2.heygen.ai/avatar/v3/75e0a87b7fd94f0981ff398b593dd47f_45570/preview_talk_4.webp,Ann Therapist,ACTIVE
Shawn_Therapist_public,606c9d2a08be4e4f8cb38eafef8090de,True,https://files2.heygen.ai/avatar/v3/db2fb7fd0d044b908395a011166ab22d_45680/preview_target.webp,Shawn Therapist,ACTIVE
Bryan_FitnessCoach_public,bd9106cb6c9949449bac016c271bd657,True,https://files2.heygen.ai/avatar/v3/7fbef4dd1d6641bc8777b26a6aaac85e_45580/preview_talk_1.webp,Bryan Fitness Coach,ACTIVE
Bryan_IT_Sitting_public,bd9106cb6c9949449bac016c271bd657,True,https://files2.heygen.ai/avatar/v3/33c9ac4aead44dfc8bc0082a35062a70_45580/preview_talk_3.webp,Bryan Tech Expert,ACTIVE
Dexter_Doctor_Standing2_public,7a544b76e07648849ed54617f18ea280,True,https://files2.heygen.ai/avatar/v3/88d421f939044bb08d892e833931948b_45590/preview_talk_1.webp,Dexter Doctor Standing,ACTIVE
Dexter_Doctor_Sitting2_public,7a544b76e07648849ed54617f18ea280,True,https://files2.heygen.ai/avatar/v3/f83fffc45faa4368b6db9597e6b323ca_45590/preview_talk_3.webp,Dexter Doctor Sitting,ACTIVE
Dexter_Lawyer_Sitting_public,7a544b76e07648849ed54617f18ea280,True,https://files2.heygen.ai/avatar/v3/e20ac0c902184ff793e75ae4e139b7dc_45600/preview_target.webp,Dexter Lawyer,ACTIVE
Elenora_IT_Sitting_public,613f8304431144918ed6a83d4b3e3196,True,https://files2.heygen.ai/avatar/v3/cbd4a69890a040e6a0d54088e606a559_45610/preview_talk_3.webp,Elenora Tech Expert,ACTIVE
Elenora_FitnessCoach2_public,613f8304431144918ed6a83d4b3e3196,True,https://files2.heygen.ai/avatar/v3/4e5afdfe8bdb44f3ae18b90281ab034c_45610/preview_talk_1.webp,Elenora Fitness Coach,ACTIVE
Elenora_FitnessCoach_public,613f8304431144918ed6a83d4b3e3196,True,https://files2.heygen.ai/avatar/v3/e097a0182d5e4f5a8dabc656fd39c063_45610/preview_target.webp,Elenora Fitness Coach 2,ACTIVE
Judy_Doctor_Standing2_public,7ffb69e578d4492587493c26ebcabc31,True,https://files2.heygen.ai/avatar/v3/13bc0ed39627493da8404a4beb373f3a_45650/preview_talk_3.webp,Judy Doctor Standing,ACTIVE
Judy_Doctor_Sitting2_public,7ffb69e578d4492587493c26ebcabc31,True,https://files2.heygen.ai/avatar/v3/022cdb1f07914e75887c693f0c5f97dd_45650/preview_talk_1.webp,Judy Doctor Sitting,ACTIVE
Judy_Lawyer_Sitting2_public,7ffb69e578d4492587493c26ebcabc31,True,https://files2.heygen.ai/avatar/v3/a7c86cb77b3144948bf8020f6e734bbf_45640/preview_talk_1.webp,Judy Lawyer,ACTIVE
Judy_Teacher_Standing_public,7ffb69e578d4492587493c26ebcabc31,True,https://files2.heygen.ai/avatar/v3/6cd7031aa97e496897391dd44dae56be_45630/preview_talk_1.webp,Judy Teacher Standing,ACTIVE
Judy_Teacher_Sitting2_public,7ffb69e578d4492587493c26ebcabc31,True,https://files2.heygen.ai/avatar/v3/f94ae3e89f4c4ff98541ab59efa5878b_45630/preview_talk_2.webp,Judy Teacher Sitting,ACTIVE
Judy_Teacher_Sitting_public,7ffb69e578d4492587493c26ebcabc31,True,https://files2.heygen.ai/avatar/v3/68fbd9f64a4948baa3c295d35f49b61c_45630/preview_target.webp,Judy HR,ACTIVE
June_HR_public,68dedac41a9f46a6a4271a95c733823c,True,https://files2.heygen.ai/avatar/v3/74447a27859a456c955e01f21ef18216_45620/preview_talk_1.webp,June HR,ACTIVE
Silas_CustomerSupport_public,5c837919d188407cac1ea65a8889e496,True,https://files2.heygen.ai/avatar/v3/a1ed8c71e4bf4e6cb9071d2b7cd71e4e_45660/preview_talk_1.webp,Silas Customer Support,ACTIVE
SilasHR_public,5c837919d188407cac1ea65a8889e496,True,https://files2.heygen.ai/avatar/v3/582ee8fe072a48fda3bc68241aeff660_45660/preview_target.webp,Silas HR,ACTIVE
Wayne_20240711,2411aaf820874397a44530f94032bfdc,True,https://files2.heygen.ai/avatar/v3/a3fdb0c652024f79984aaec11ebf2694_34350/preview_target.webp,Wayne,ACTIVE
